id,user_input,bot_response
1038392_dir,Who directed The Conjuring: Last Rites?,The Conjuring: Last Rites was directed by Michael Chaves.
1038392_cast,Who starred in The Conjuring: Last Rites?,"The main cast includes Vera Farmiga, Patrick Wilson, Mia Tomlinson, Ben Hardy, Rebecca Calder."
1038392_year,When was The Conjuring: Last Rites released?,The Conjuring: Last Rites was released in 2025.
1038392_rec,Recommend a movie like The Conjuring: Last Rites.,"If you liked The Conjuring: Last Rites, you might enjoy The Long Walk, The Lost Bus, One Battle After Another."
1086910_dir,Who directed The Lost Princess?,The Lost Princess was directed by Hicham Hajji.
1086910_cast,Who starred in The Lost Princess?,"The main cast includes Cillian O'Sullivan, Gary Dourdan, Robert Knepper, Soraya Azzabi, Eric Roberts."
1086910_year,When was The Lost Princess released?,The Lost Princess was released in 2025.
1311031_dir,Who directed Demon Slayer: Kimetsu no Yaiba Infinity Castle?,Demon Slayer: Kimetsu no Yaiba Infinity Castle was directed by Haruo Sotozaki.
1311031_cast,Who starred in Demon Slayer: Kimetsu no Yaiba Infinity Castle?,"The main cast includes Natsuki Hanae, Hiro Shimono, Takahiro Sakurai, Akira Ishida, Yoshitsugu Matsuoka."
1311031_year,When was Demon Slayer: Kimetsu no Yaiba Infinity Castle released?,Demon Slayer: Kimetsu no Yaiba Infinity Castle was released in 2025.
1311031_rec,Recommend a movie like Demon Slayer: Kimetsu no Yaiba Infinity Castle.,"If you liked Demon Slayer: Kimetsu no Yaiba Infinity Castle, you might enjoy War of the Worlds, Night Carnage, One Battle After Another."
755898_dir,Who directed War of the Worlds?,War of the Worlds was directed by Rich Lee.
755898_cast,Who starred in War of the Worlds?,"The main cast includes Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall."
755898_year,When was War of the Worlds released?,War of the Worlds was released in 2025.
755898_rec,Recommend a movie like War of the Worlds.,"If you liked War of the Worlds, you might enjoy Night Carnage, Demon Slayer: Kimetsu no Yaiba Infinity Castle, Jurassic World Rebirth."
338969_dir,Who directed The Toxic Avenger Unrated?,The Toxic Avenger Unrated was directed by Macon Blair.
338969_cast,Who starred in The Toxic Avenger Unrated?,"The main cast includes Peter Dinklage, Jacob Tremblay, Taylour Paige, Julia Davis, Jonny Coyne."
338969_year,When was The Toxic Avenger Unrated released?,The Toxic Avenger Unrated was released in 2025.
338969_rec,Recommend a movie like The Toxic Avenger Unrated.,"If you liked The Toxic Avenger Unrated, you might enjoy Rabbit Trap, The Last Winter, Snoopy Presents: A Summer Musical."
1186350_dir,Who directed Marco?,Marco was directed by Haneef Adeni.
1186350_cast,Who starred in Marco?,"The main cast includes Unni Mukundan, Siddique, Ishan Shoukath, Jagadish, Abhimanyu Thilakan."
1186350_year,When was Marco released?,Marco was released in 2024.
1186350_rec,Recommend a movie like Marco.,"If you liked Marco, you might enjoy The Roundup: Punishment, Azaad, Singham Again."
793387_dir,Who directed Holy Night: Demon Hunters?,Holy Night: Demon Hunters was directed by Lim Dae-hee.
793387_cast,Who starred in Holy Night: Demon Hunters?,"The main cast includes Don Lee, Seohyun, David Lee, Gyeong Su-jin, Jung Ji-so."
793387_year,When was Holy Night: Demon Hunters released?,Holy Night: Demon Hunters was released in 2025.
793387_rec,Recommend a movie like Holy Night: Demon Hunters.,"If you liked Holy Night: Demon Hunters, you might enjoy Kraken, Dark Nuns, The Lost Bus."
1109086_dir,Who directed War 2?,War 2 was directed by Ayan Mukerji.
1109086_cast,Who starred in War 2?,"The main cast includes N.T. Rama Rao Jr., Hrithik Roshan, Kiara Advani, Ashutosh Rana, Anil Kapoor."
1109086_year,When was War 2 released?,War 2 was released in 2025.
1109086_rec,Recommend a movie like War 2.,"If you liked War 2, you might enjoy Coolie, The Boy and the Beast, Hridayapoorvam."
617126_dir,Who directed The Fantastic 4: First Steps?,The Fantastic 4: First Steps was directed by Matt Shakman.
617126_cast,Who starred in The Fantastic 4: First Steps?,"The main cast includes Pedro Pascal, Vanessa Kirby, Ebon Moss-Bachrach, Joseph Quinn, Ralph Ineson."
617126_year,When was The Fantastic 4: First Steps released?,The Fantastic 4: First Steps was released in 2025.
617126_rec,Recommend a movie like The Fantastic 4: First Steps.,"If you liked The Fantastic 4: First Steps, you might enjoy Superman, The Naked Gun, Splitsville."
941109_dir,Who directed Play Dirty?,Play Dirty was directed by Shane Black.
941109_cast,Who starred in Play Dirty?,"The main cast includes Mark Wahlberg, LaKeith Stanfield, Rosa Salazar, Keegan-Michael Key, Chukwudi Iwuji."
941109_year,When was Play Dirty released?,Play Dirty was released in 2025.
941109_rec,Recommend a movie like Play Dirty.,"If you liked Play Dirty, you might enjoy The Lost Bus, Mantis, The Toxic Avenger Unrated."
1290879_dir,Who directed The Woman in Cabin 10?,The Woman in Cabin 10 was directed by Simon Stone.
1290879_cast,Who starred in The Woman in Cabin 10?,"The main cast includes Keira Knightley, Guy Pearce, David Ajala, Gitte Witt, Art Malik."
1290879_year,When was The Woman in Cabin 10 released?,The Woman in Cabin 10 was released in 2025.
1290879_rec,Recommend a movie like The Woman in Cabin 10.,"If you liked The Woman in Cabin 10, you might enjoy The Life and Times of Judge Roy Bean, Loss of Balance, The Seed of the Sacred Fig."
1257009_dir,Who directed Primitive War?,Primitive War was directed by Luke Sparke.
1257009_cast,Who starred in Primitive War?,"The main cast includes Jeremy Piven, Tricia Helfer, Ryan Kwanten, Nick Wechsler, Anthony Ingruber."
1257009_year,When was Primitive War released?,Primitive War was released in 2025.
1257009_rec,Recommend a movie like Primitive War.,"If you liked Primitive War, you might enjoy The Man in My Basement, The Lychee Road, Hope."
1251717_dir,Who directed Vicious?,Vicious was directed by Bryan Bertino.
1251717_cast,Who starred in Vicious?,"The main cast includes Dakota Fanning, Kathryn Hunter, Mary McCormack, Rachel Blanchard, Devyn Nekoda."
1251717_year,When was Vicious released?,Vicious was released in 2025.
1251717_rec,Recommend a movie like Vicious.,"If you liked Vicious, you might enjoy I Heard the Bells, Coconut Head Generation, Sweetness in the Belly."
533533_dir,Who directed TRON: Ares?,TRON: Ares was directed by Joachim Rønning.
533533_cast,Who starred in TRON: Ares?,"The main cast includes Jared Leto, Greta Lee, Evan Peters, Gillian Anderson, Jodie Turner-Smith."
533533_year,When was TRON: Ares released?,TRON: Ares was released in 2025.
533533_rec,Recommend a movie like TRON: Ares.,"If you liked TRON: Ares, you might enjoy Good Boy, Black Phone 2, Maintenance Required."
986097_dir,Who directed HIM?,HIM was directed by Justin Tipping.
986097_cast,Who starred in HIM?,"The main cast includes Tyriq Withers, Marlon Wayans, Julia Fox, Tim Heidecker, Jim Jefferies."
986097_year,When was HIM released?,HIM was released in 2025.
986097_rec,Recommend a movie like HIM.,"If you liked HIM, you might enjoy Screamboat, The Smashing Machine, Samurai I: Musashi Miyamoto."
1328803_dir,Who directed Prisoner of War?,Prisoner of War was directed by Louis Mandylor.
1328803_cast,Who starred in Prisoner of War?,"The main cast includes Scott Adkins, Peter Shinkoda, Michael Copon, Donald Cerrone, Michael Rene Walton."
1328803_year,When was Prisoner of War released?,Prisoner of War was released in 2025.
1328803_rec,Recommend a movie like Prisoner of War.,"If you liked Prisoner of War, you might enjoy Adulthood, Get Fast, Timber Falls."
803796_dir,Who directed KPop Demon Hunters?,KPop Demon Hunters was directed by Chris Appelhans.
803796_cast,Who starred in KPop Demon Hunters?,"The main cast includes Arden Cho, May Hong, Ji-young Yoo, Ahn Hyo-seop, Yunjin Kim."
803796_year,When was KPop Demon Hunters released?,KPop Demon Hunters was released in 2025.
803796_rec,Recommend a movie like KPop Demon Hunters.,"If you liked KPop Demon Hunters, you might enjoy How to Train Your Dragon, The Fantastic 4: First Steps, Elio."
1267319_dir,Who directed Mantis?,Mantis was directed by Lee Tae-sung.
1267319_cast,Who starred in Mantis?,"The main cast includes Yim Si-wan, Park Gyu-young, Choi Hyun-wook, Bae Gang-hee, Hwang Sung-bin."
1267319_year,When was Mantis released?,Mantis was released in 2025.
1267319_rec,Recommend a movie like Mantis.,"If you liked Mantis, you might enjoy Play Dirty, The Man in My Basement, Stolen Girl."
575265_dir,Who directed Mission: Impossible - The Final Reckoning?,Mission: Impossible - The Final Reckoning was directed by Christopher McQuarrie.
575265_cast,Who starred in Mission: Impossible - The Final Reckoning?,"The main cast includes Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Esai Morales."
575265_year,When was Mission: Impossible - The Final Reckoning released?,Mission: Impossible - The Final Reckoning was released in 2025.
575265_rec,Recommend a movie like Mission: Impossible - The Final Reckoning.,"If you liked Mission: Impossible - The Final Reckoning, you might enjoy F1, Fountain of Youth, Opus."
1061474_dir,Who directed Superman?,Superman was directed by James Gunn.
1061474_cast,Who starred in Superman?,"The main cast includes David Corenswet, Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Nathan Fillion."
1061474_year,When was Superman released?,Superman was released in 2025.
1061474_rec,Recommend a movie like Superman.,"If you liked Superman, you might enjoy The Fantastic 4: First Steps, Jurassic World Rebirth, Mission: Impossible - The Final Reckoning."
1053008_dir,Who directed Fight Another Day?,Fight Another Day was directed by James Mark.
1053008_cast,Who starred in Fight Another Day?,"The main cast includes Jim Belushi, Martin Kove, Eric Johnson, Ennis Esmer, Chuck Liddell."
1053008_year,When was Fight Another Day released?,Fight Another Day was released in 2024.
1053008_rec,Recommend a movie like Fight Another Day.,"If you liked Fight Another Day, you might enjoy The Boys in the Boat, Before I Disappear, Cinderella's Revenge."
1009640_dir,Who directed Valiant One?,Valiant One was directed by Steve Barnett.
1009640_cast,Who starred in Valiant One?,"The main cast includes Chase Stokes, Lana Condor, Desmin Borges, Callan Mulvey, Diana Tsoy."
1009640_year,When was Valiant One released?,Valiant One was released in 2025.
1009640_rec,Recommend a movie like Valiant One.,"If you liked Valiant One, you might enjoy Driving Madeleine, Primitive War, The Unbreakable Boy."
1277988_dir,Who directed Caramelo?,Caramelo was directed by Diego Freitas.
1277988_cast,Who starred in Caramelo?,"The main cast includes Rafael Vitti, Amendoim, Arianne Botelho, Kelzy Ecard, Bruno Vinicius."
1277988_year,When was Caramelo released?,Caramelo was released in 2025.
1277988_rec,Recommend a movie like Caramelo.,"If you liked Caramelo, you might enjoy Touch of Evil, Hakkenden, The Batman."
1547527_dir,Who directed Stay?,Stay was directed by Jas Summers.
1547527_cast,Who starred in Stay?,"The main cast includes Megalyn Echikunwoke, Mo McRae, Brandon Firla, Dominic Stephens, Patrick Cloud."
1547527_year,When was Stay released?,Stay was released in 2025.
1547527_rec,Recommend a movie like Stay.,"If you liked Stay, you might enjoy Killing Faith, Opus, Ride Away."
1352755_dir,Who directed Maintenance Required?,Maintenance Required was directed by Lacey Uhlemeyer.
1352755_cast,Who starred in Maintenance Required?,"The main cast includes Madelaine Petsch, Jacob Scipio, Katy O'Brian, Madison Bailey, Matteo Lane."
1352755_year,When was Maintenance Required released?,Maintenance Required was released in 2025.
1352755_rec,Recommend a movie like Maintenance Required.,"If you liked Maintenance Required, you might enjoy HIM, TRON: Ares, Spinal Tap II: The End Continues."
7451_dir,Who directed xXx?,xXx was directed by Rob Cohen.
7451_cast,Who starred in xXx?,"The main cast includes Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson, Michael Roof."
7451_year,When was xXx released?,xXx was released in 2002.
7451_rec,Recommend a movie like xXx.,"If you liked xXx, you might enjoy xXx: State of the Union, XXX, Black Hawk Down."
1087192_dir,Who directed How to Train Your Dragon?,How to Train Your Dragon was directed by Dean DeBlois.
1087192_cast,Who starred in How to Train Your Dragon?,"The main cast includes Mason Thames, Nico Parker, Gerard Butler, Nick Frost, Gabriel Howell."
1087192_year,When was How to Train Your Dragon released?,How to Train Your Dragon was released in 2025.
1087192_rec,Recommend a movie like How to Train Your Dragon.,"If you liked How to Train Your Dragon, you might enjoy Demon Slayer: Kimetsu no Yaiba Infinity Castle, M3GAN 2.0, Lilo & Stitch."
